,idDB,Nom,Equip,Funcio,Dorsal
329,116132,Jonathan Silva,Leganés,Defensa,5
330,67527,Allan Nyom,Leganés,Defensa,12
331,,Vasyl Kravets,Leganés,Defensa,14
332,210419,Rodrigo Tarín,Leganés,Defensa,15
333,54795,Ezequiel Muñoz,Leganés,Defensa,19
334,53020,Dimitrios Siovas,Leganés,Defensa,22
335,112991,Kenneth Omeruo,Leganés,Defensa,24
336,161030,Gerard Gumbau,Leganés,Centrocampista,6
337,91338,Recio,Leganés,Centrocampista,8
338,40380,Nabil El Zhar,Leganés,Centrocampista,10
339,109707,Alexander Szymanowski,Leganés,Centrocampista,11
340,90483,Javier Eraso,Leganés,Centrocampista,17
341,59945,Rubén Pérez,Leganés,Centrocampista,21
342,197326,Mikel Vesga,Leganés,Centrocampista,23
343,223757,Óscar Rodríguez,Leganés,Centrocampista,27
344,98914,Guido Carrillo,Leganés,Delantero,9
345,219173,José Arnáiz,Leganés,Delantero,16
346,197332,Sabin Merino,Leganés,Delantero,18
347,152582,Michael Santos,Leganés,Delantero,20
348,68690,Martin Braithwaite,Leganés,Delantero,25
349,234991,Youssef En-Nesyri,Leganés,Delantero,26
350,,Javier Avilés,Leganés,Delantero,33
351,,Paco López,Levante,Entrenador,0
352,182617,Koke,Levante,Portero,1
353,49442,Oier Olazábal,Levante,Portero,13
354,80993,Aitor Fernández,Levante,Portero,25
355,77039,Toño,Levante,Defensa,3
356,220093,Rober Pier,Levante,Defensa,4
357,169201,Chema Rodríguez,Levante,Defensa,6
358,55268,Coke,Levante,Defensa,12
359,116206,Rúben Vezo,Levante,Defensa,14
360,90400,Sergio Postigo,Levante,Defensa,15
361,169586,Erick Cabaco,Levante,Defensa,18
362,42844,Pedro López,Levante,Defensa,19
363,83564,Antonio Luna,Levante,Defensa,22
364,,Genís Montolio,Levante,Defensa,26
365,78323,Cheick Doukouré,Levante,Centrocampista,5
366,196739,Enis Bardhi,Levante,Centrocampista,10
367,165375,José Luis Morales,Levante,Centrocampista,11
368,86168,Rubén Rochina,Levante,Centrocampista,16
369,96093,Nikola Vukcevic,Levante,Centrocampista,17
370,88952,José Campaña,Levante,Centrocampista,24
371,,Fran Manzanara,Levante,Centrocampista,27
372,,Arturo Molina,Levante,Centrocampista,31
373,199248,Borja Mayoral,Levante,Delantero,2
